,Unnamed: 0,Block and Lot Number,Property Location,Location,blklot,Violation Number,correct - no permit,obtain permit,stop all work,abated,closed,open,referred to hearing,rescinded
109,3335,0215C002,0000 1333 JONES               ST0402,"(37.7936210279681, -122.414882373554)",0215C002,6,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
110,3360,1530009C,0449 0447 14TH                AV0000,"(37.779641776117, -122.473152774231)",1530009C,2,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
111,3390,0298C038,0000 0666 POST                ST1103,"(37.78790571895, -122.412900793831)",0298C038,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
112,3466,0247C058,0000 1200 CALIFORNIA          ST0019A,"(37.7916717343982, -122.414524564497)",0247C058,4,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
113,3487,2633006,0000 0333 PARNASSUS           AV0000,"(37.7639657654187, -122.45531235579)",2633006,2,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
114,3537,0298C024,0000 0666 POST                ST0801,"(37.78790571895, -122.412900793831)",0298C024,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
115,3550,0047C149,0000 1080 CHESTNUT            ST0013B,"(37.8030477584271, -122.421074450669)",0047C149,12,9.0,1.0,0.0,4.0,3.0,0.0,5.0,0.0
116,3560,0540C015,0000 2100 GREEN               ST0602,"(37.7965785554442, -122.434007636828)",0540C015,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
117,3597,0215C067,0000 1333 JONES               ST1006,"(37.7936210279681, -122.414882373554)",0215C067,6,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
118,3605,3595033,0416 0412 CAPP                ST0000,"(37.7599736868682, -122.418372126894)",3595033,3,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
119,3677,0298C055,0000 0666 POST                ST1700,"(37.78790571895, -122.412900793831)",0298C055,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
120,3686,0128C043,0000 1750 TAYLOR              ST1302,"(37.7985288032275, -122.413274223265)",0128C043,9,7.0,2.0,0.0,1.0,7.0,1.0,0.0,0.0
121,3707,0128C062,0000 1750 TAYLOR              ST1903,"(37.7985288032275, -122.413274223265)",0128C062,9,7.0,2.0,0.0,1.0,7.0,1.0,0.0,0.0
122,3713,0047C104,0000 1080 CHESTNUT            ST0001F,"(37.8030477584271, -122.421074450669)",0047C104,12,9.0,1.0,0.0,4.0,3.0,0.0,5.0,0.0
123,3745,0247C025,0000 1200 CALIFORNIA          ST0009D,"(37.7916717343982, -122.414524564497)",0247C025,4,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
124,3770,0298C040,0000 0666 POST                ST1201,"(37.78790571895, -122.412900793831)",0298C040,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
125,3805,5290020,1774 1772 LA SALLE            AV0000,"(37.7385317352958, -122.391732010695)",5290020,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
126,3811,4264021,0000 1326 UTAH                ST0000,"(37.7526451433454, -122.40563450518)",4264021,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
127,3815,0540C003,0000 2100 GREEN               ST0202,"(37.7965785554442, -122.434007636828)",0540C003,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
128,3876,3729063,0767 0763 TEHAMA              ST0000,"(37.7749046805011, -122.411920193007)",3729063,2,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
129,3909,0418A013,0019 0017 CASA                WY0000,"(37.8051897263443, -122.438575438493)",0418A013,6,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
130,3922,0298C053,0000 0666 POST                ST1603,"(37.78790571895, -122.412900793831)",0298C053,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
131,3937,0097C013,0000 1100 UNION               ST0800,"(37.7996601729614, -122.417684118265)",0097C013,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
132,3963,0071C201,0000 2250 HYDE                ST0002,"(37.8017461522948, -122.419354966012)",0071C201,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
133,4012,5517057,0000 0122 PRECITA             AV0000,"(37.7466782423699, -122.417611143681)",5517057,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
134,4017,0247C010,0000 1200 CALIFORNIA          ST0006A,"(37.7916717343982, -122.414524564497)",0247C010,4,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
135,4024,0047C115,0000 1080 CHESTNUT            ST0004B,"(37.8030477584271, -122.421074450669)",0047C115,12,9.0,1.0,0.0,4.0,3.0,0.0,5.0,0.0
136,4042,0252C049,0000 1201 CALIFORNIA          ST0901,"(37.7910768180755, -122.41433878109)",0252C049,5,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
137,4062,0215C016,0000 1333 JONES               ST0506,"(37.7936210279681, -122.414882373554)",0215C016,6,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
138,4069,4276005,0000 1351 HAMPSHIRE           ST0000,"(37.7506317526273, -122.406831524957)",4276005,2,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
139,4086,0298C005,0000 0666 POST                ST0301,"(37.78790571895, -122.412900793831)",0298C005,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
140,4095,0215C042,0000 1333 JONES               ST0802,"(37.7936210279681, -122.414882373554)",0215C042,6,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
141,4125,0215C076,0000 1333 JONES               ST1105,"(37.7936210279681, -122.414882373554)",0215C076,6,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
142,4152,0098C026,0000 1020 UNION               ST0027,"(37.8000299152147, -122.416271336736)",0098C026,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
143,4175,0540C001,0000 2100 GREEN               ST0102,"(37.7965785554442, -122.434007636828)",0540C001,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
144,4180,0043008,0000 5670 BAY                 ST0000,"(37.8048865912184, -122.415875348249)",0043008,3,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
145,4273,0094C004,0000 2164 HYDE                ST0304,"(37.8009123308796, -122.419097249198)",0094C004,10,7.0,3.0,0.0,0.0,0.0,3.0,7.0,0.0
146,4284,0252C060,0000 1201 CALIFORNIA          ST1102,"(37.7910768180755, -122.41433878109)",0252C060,5,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
147,4285,0247C023,0000 1200 CALIFORNIA          ST0009B,"(37.7916717343982, -122.414524564497)",0247C023,4,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
148,4326,5802031,0000 3951 MISSION             ST0000,"(37.7343910510672, -122.425279121718)",5802031,3,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
149,4328,0063011,0530 0526 LOMBARD             ST0000,"(37.8034491016442, -122.410336045098)",0063011,2,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
150,4391,0247C052,0000 1200 CALIFORNIA          ST0017C,"(37.7916717343982, -122.414524564497)",0247C052,4,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
151,4409,0047C137,0000 1080 CHESTNUT            ST0009D,"(37.8030477584271, -122.421074450669)",0047C137,12,9.0,1.0,0.0,4.0,3.0,0.0,5.0,0.0
152,4423,0098C021,0000 1020 UNION               ST0022,"(37.8000299152147, -122.416271336736)",0098C021,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
153,4455,0247C018,0000 1200 CALIFORNIA          ST0008A,"(37.7916717343982, -122.414524564497)",0247C018,4,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
154,4500,0215C101,0000 1333 JONES               ST1410,"(37.7936210279681, -122.414882373554)",0215C101,6,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
155,4578,0252C068,0000 1201 CALIFORNIA          ST1302,"(37.7910768180755, -122.41433878109)",0252C068,5,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
156,4579,0783024,0000 0550 FULTON              ST0000,"(37.7789533839007, -122.425077337164)",0783024,4,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
157,4598,0215C073,0000 1333 JONES               ST1102,"(37.7936210279681, -122.414882373554)",0215C073,6,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
158,4641,0097C002,0000 1100 UNION               ST0201,"(37.7996601729614, -122.417684118265)",0097C002,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
159,4649,0247C037,0000 1200 CALIFORNIA          ST0012D,"(37.7916717343982, -122.414524564497)",0247C037,4,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
