,Unnamed: 0,Block and Lot Number,Property Location,Location,blklot,BuildingFire
0,113,0710C065,0000 0001 WESTERN SHORE         0005,"(37.7842359166421, -122.428680459592)",0710C065,1
1,116,0710C072,0000 0015 WESTERN SHORE         0006,"(37.7842359166421, -122.428680459592)",0710C072,1
2,127,0710C046,0000 1465 LAGUNA                0004,"(37.7842359166421, -122.428680459592)",0710C046,1
3,177,0711C036,0000 0085 CLEARY              CT0012,"(37.7835963351412, -122.42679775829)",0711C036,1
4,191,4031025,0000 0699 RHODE ISLAND        ST0000,"(37.7610639506831, -122.401902607992)",4031025,1
5,203,3785167,0000 0168 BLUXOME             ST0000,"(37.774839394458, -122.399817161304)",3785167,1
6,217,0710C099,0000 0065 WESTERN SHORE         0004,"(37.7842359166421, -122.428680459592)",0710C099,1
7,253,6631032,0469 0467 29TH                ST0000,"(37.7432348818917, -122.43026865728)",6631032,1
8,295,5295001,0000 1501 LA SALLE            AV0000,"(37.7352937983912, -122.387090729238)",5295001,1
9,318,1288015A,4968 4966 17TH                ST0000,"(37.761638689164, -122.451778800852)",1288015A,1
10,332,0710C021,0000 1555 GEARY                 0003,"(37.7842359166421, -122.428680459592)",0710C021,1
11,340,3546021,0475 0473 14TH                ST0000,"(37.7677752483522, -122.423740902711)",3546021,1
12,364,0711C006,0000 0045 CLEARY              CT0006,"(37.7835963351412, -122.42679775829)",0711C006,1
13,373,3779094,0000 0023 BOARDMAN            PL0000,"(37.7749634621484, -122.403011928951)",3779094,2
14,509,0710C055,0000 0045 LOTTIE BEN            0001,"(37.7842359166421, -122.428680459592)",0710C055,1
15,512,0711C038,0000 1220 ELLIS               ST0002,"(37.7835963351412, -122.42679775829)",0711C038,1
16,514,1252020,0000 1850 BELVEDERE           ST0000,"(37.7671934669515, -122.44942238024)",1252020,1
17,551,0778008,1052 1048 FULTON              ST0000,"(37.7776657446843, -122.434093183793)",0778008,1
18,563,3582020,4026 4024 18TH                ST0000,"(37.7612088184596, -122.433428176686)",3582020,1
19,582,0710C086,0000 0045 WESTERN SHORE         0003,"(37.7842359166421, -122.428680459592)",0710C086,1
20,724,3620010,0000 3628 22ND                ST0000,"(37.7550906777904, -122.428562471513)",3620010,1
21,748,0858008,0242 0240 WALLER              ST0000,"(37.7717554337029, -122.427753995918)",0858008,1
22,807,3785151,0000 0168 BLUXOME             ST0000,"(37.774839394458, -122.399817161304)",3785151,1
23,808,0471001G,1427 1425 BAY                 ST0000,"(37.8032251581002, -122.430500538335)",0471001G,1
24,846,3785182,0000 0168 BLUXOME             ST0000,"(37.774839394458, -122.399817161304)",3785182,1
25,873,3785149,0000 0168 BLUXOME             ST0000,"(37.774839394458, -122.399817161304)",3785149,1
26,883,6753001,0461 0459 BOSWORTH            ST0000,"(37.7330021379454, -122.431320203854)",6753001,1
27,898,2712010,0435 0433 CORBETT             AV0000,"(37.7581071260177, -122.445402210878)",2712010,1
28,902,0710C009,0000 0020 BERTIE MINOR          0003,"(37.7842359166421, -122.428680459592)",0710C009,1
29,914,6011001,0128 0126 LISBON              ST0000,"(37.7263274877134, -122.43067169345)",6011001,1
30,938,6565004,1414 1412 CHURCH              ST0000,"(37.7481195557672, -122.427370767337)",6565004,1
31,983,5835070,4077 4075 MISSION             ST0000,"(37.7323413724831, -122.427305921031)",5835070,1
32,998,4710050,0005 0001 DUKES               CT0000,"(37.737069057698, -122.386939037061)",4710050,1
33,1008,1023018,3062 3060 CALIFORNIA          ST0000,"(37.7878017193781, -122.444846945412)",1023018,1
34,1061,6518029,0000 3225 24TH                ST0000,"(37.752151353792, -122.416880976549)",6518029,1
35,1194,0710C032,0000 1445 LAGUNA                0002,"(37.7842359166421, -122.428680459592)",0710C032,1
36,1216,5988019,0000 0320 HAMILTON            ST0000,"(37.72676845039, -122.410158833297)",5988019,1
37,1232,1267010,1120 1100 CARL                ST0000,"(37.766015422199, -122.450518393593)",1267010,1
38,1313,0710C056,0000 0045 LOTTIE BEN            0002,"(37.7842359166421, -122.428680459592)",0710C056,1
39,1327,0710C003,0000 0010 BERTIE MINOR          0003,"(37.7842359166421, -122.428680459592)",0710C003,1
40,1329,0710C081,0000 0035 WESTERN SHORE         0003,"(37.7842359166421, -122.428680459592)",0710C081,1
41,1349,0830025,0537 0535 FELL                ST0000,"(37.7752528952418, -122.426678514025)",0830025,1
42,1362,0710C017,0000 1545 GEARY                 0005,"(37.7842359166421, -122.428680459592)",0710C017,1
43,1392,3554035,0000 0160 JULIAN              AV0000,"(37.7656174419412, -122.421240344839)",3554035,1
44,1427,0153027,1399 1397 VALLEJO             ST0000,"(37.796940871953, -122.420126189019)",0153027,1
45,1452,0710C103,0000 0075 WESTERN SHORE         0002,"(37.7842359166421, -122.428680459592)",0710C103,1
46,1628,2801009,4418 4416 23RD                ST0000,"(37.7527124814296, -122.441282056981)",2801009,1
47,1638,0818028,0422 0420 LINDEN              ST0000,"(37.7762671050225, -122.425009693913)",0818028,1
48,1640,3564048,0078 0076 PROSPER             ST0000,"(37.763108303006, -122.431755723298)",3564048,1
49,1765,3525034,0223 0219 DORE                ST0000,"(37.7718738094474, -122.410149988764)",3525034,1
50,1853,1267056,4330 4310 FREDERICK           ST0000,"(37.7663348778681, -122.451020830756)",1267056,1
51,1922,0710C105,0000 0075 WESTERN SHORE         0004,"(37.7842359166421, -122.428680459592)",0710C105,1
52,1970,1540025,0000 1344 ANZA                ST0000,"(37.7793996134014, -122.462814270568)",1540025,1
53,2013,0976005,0000 2904 JACKSON             ST0000,"(37.7916115374379, -122.443150435491)",0976005,1
54,2056,0054008,0000 0320 CHESTNUT            ST0000,"(37.8044927821741, -122.40875268805)",0054008,1
55,2096,0710C107,0000 0075 WESTERN SHORE         0006,"(37.7842359166421, -122.428680459592)",0710C107,1
56,2230,1222026,1579 1575 OAK                 ST0000,"(37.7719056429057, -122.445184584012)",1222026,1
57,2289,0710C101,0000 0065 WESTERN SHORE         0006,"(37.7842359166421, -122.428680459592)",0710C101,1
58,2292,0711C051,0000 1250 ELLIS               ST0003,"(37.7835963351412, -122.42679775829)",0711C051,1
59,2337,3785179,0000 0168 BLUXOME             ST0000,"(37.774839394458, -122.399817161304)",3785179,1
60,2367,0478002A,0000 2821 POLK                ST0000,"(37.8028146357738, -122.423471398433)",0478002A,1
61,2407,0710C097,0000 0065 WESTERN SHORE         0002,"(37.7842359166421, -122.428680459592)",0710C097,1
62,2415,3785176,0000 0168 BLUXOME             ST0000,"(37.774839394458, -122.399817161304)",3785176,1
63,2416,2630012,1153 1151 STANYAN             ST0000,"(37.763283248076, -122.452636809752)",2630012,1
64,2434,4263020,2529 2525 24TH                ST0000,"(37.752861548305, -122.404867460665)",4263020,1
65,2469,0975009,3062 3060 JACKSON             ST0000,"(37.7913394570707, -122.445543964337)",0975009,1
66,2521,0710C034,0000 1445 LAGUNA                0004,"(37.7842359166421, -122.428680459592)",0710C034,1
67,2524,4158035,2238 2236 23RD                ST0000,"(37.7547555724137, -122.402311540373)",4158035,1
68,2599,6534011,0462 0460 FAIR OAKS           ST0000,"(37.7493193280329, -122.424056506833)",6534011,1
69,2622,4715007,0000 0005 COMMER              CT0000,"(37.7318394741749, -122.384663440812)",4715007,2
70,2692,6507024,4051 4049 24TH                ST0000,"(37.7511156132625, -122.432976344768)",6507024,1
71,2760,0153013,1320 1316 BROADWAY              0000,"(37.7966296451963, -122.41893441348)",0153013,1
72,2801,4094001,0000 2105 20TH                ST0000,"(37.7595317037017, -122.402379835195)",4094001,1
73,2823,7138021,0000 0178 SAGAMORE            ST0000,"(37.7117001152991, -122.458431543198)",7138021,1
74,2850,1250002,7110 7070 SHRADER             ST0000,"(37.7681919158275, -122.451933237438)",1250002,1
75,2856,0180025,0000 0049 JOHN                ST0000,"(37.7958280618894, -122.410823420899)",0180025,1
76,2859,3589057,0169 0167 LEXINGTON           ST0000,"(37.7607200683331, -122.420506198199)",3589057,1
77,2864,0711C029,0000 0085 CLEARY              CT0005,"(37.7835963351412, -122.42679775829)",0711C029,1
78,2868,3785159,0000 0168 BLUXOME             ST0000,"(37.774839394458, -122.399817161304)",3785159,1
79,2870,3785164,0000 0168 BLUXOME             ST0000,"(37.774839394458, -122.399817161304)",3785164,1
80,2920,6320014,0025 0023 CASTILLO            ST0000,"(37.7089762406272, -122.417574654747)",6320014,1
81,2925,1188014C,0000 1929 FULTON              ST0000,"(37.7752529627026, -122.448529573449)",1188014C,1
82,2953,0711C008,0000 0045 CLEARY              CT0008,"(37.7835963351412, -122.42679775829)",0711C008,1
83,3013,0186028,0000 1401 HYDE                ST0000,"(37.7937493196707, -122.418265454885)",0186028,1
84,3132,6508020,0282 0280 JERSEY              ST0000,"(37.7508988167358, -122.431368985765)",6508020,1
85,3137,3568005,0538 0536 VALENCIA            ST0000,"(37.7642636673784, -122.42212146456)",3568005,1
86,3184,5926004,0000 0124 GIRARD              ST0000,"(37.7305274490838, -122.40623025494)",5926004,1
87,3326,3556008,0338 0336 GUERRERO            ST0000,"(37.7657770109058, -122.424518311236)",3556008,1
88,3327,0711C035,0000 0085 CLEARY              CT0011,"(37.7835963351412, -122.42679775829)",0711C035,1
89,3339,0710C054,0000 0035 LOTTIE BEN            0006,"(37.7842359166421, -122.428680459592)",0710C054,1
90,3378,0866009,0105 0101 STEINER             ST0000,"(37.7699940090417, -122.431984080767)",0866009,1
91,3436,1798060,3832 3830 JUDAH               ST0000,"(37.7607771744526, -122.503309028269)",1798060,1
92,3439,3653042,3931 3929 23RD                ST0000,"(37.7528727017529, -122.43048566817)",3653042,1
93,3452,0710C045,0000 1465 LAGUNA                0003,"(37.7842359166421, -122.428680459592)",0710C045,1
94,3485,0710C027,0000 1435 LAGUNA                0003,"(37.7842359166421, -122.428680459592)",0710C027,1
95,3499,0711C002,0000 0045 CLEARY              CT0002,"(37.7835963351412, -122.42679775829)",0711C002,1
96,3567,3785150,0000 0168 BLUXOME             ST0000,"(37.774839394458, -122.399817161304)",3785150,1
97,3569,0730044,0000 1680 EDDY                ST0000,"(37.7815803277032, -122.434887469254)",0730044,2
98,3570,3785147,0000 0168 BLUXOME             ST0000,"(37.774839394458, -122.399817161304)",3785147,1
99,3579,3589034,0000 0121 SAN CARLOS          ST0000,"(37.761378821197, -122.419880717338)",3589034,1
100,3693,0710C061,0000 0001 WESTERN SHORE         0001,"(37.7842359166421, -122.428680459592)",0710C061,1
101,3714,6663004,0140 0138 CHENERY             ST0000,"(37.7392544039788, -122.425984959259)",6663004,1
102,3730,0860004,0223 0219 FILLMORE            ST0000,"(37.7714667414901, -122.430545110394)",0860004,1
103,3749,0711C018,0000 0065 CLEARY              CT0006,"(37.7835963351412, -122.42679775829)",0711C018,1
104,3788,3617032,0093 0091 HILL                ST0000,"(37.7557749076837, -122.422959662953)",3617032,1
105,3816,3730031,0679 0675 CLEMENTINA          ST0000,"(37.7756519933507, -122.410030630257)",3730031,1
106,3829,3785165,0000 0168 BLUXOME             ST0000,"(37.774839394458, -122.399817161304)",3785165,1
107,3861,0710C073,0000 0025 WESTERN SHORE         0001,"(37.7842359166421, -122.428680459592)",0710C073,1
108,3875,3541038,0065 0061 HENRY               ST0000,"(37.7664812453059, -122.432330422832)",3541038,1
109,3898,0710C075,0000 0025 WESTERN SHORE         0003,"(37.7842359166421, -122.428680459592)",0710C075,1
110,3901,4206006,1138 1136 ALABAMA             ST0000,"(37.753645827973, -122.411332503945)",4206006,1
111,3924,1252011,1450 1430 BELVEDERE           ST0000,"(37.7678644742869, -122.449602605798)",1252011,1
112,4083,4069005,0000 0426 ARKANSAS            ST0000,"(37.760767847643, -122.398610021212)",4069005,1
113,4134,1274022,2910 2870 CARL                ST0000,"(37.765037167431, -122.454093152807)",1274022,1
114,4181,3785175,0000 0168 BLUXOME             ST0000,"(37.774839394458, -122.399817161304)",3785175,1
115,4227,2699038,0333 0331 DOUGLASS            ST0000,"(37.7584489159357, -122.43880504364)",2699038,1
116,4237,5802024,0000 3983 MISSION             ST0000,"(37.7340136807078, -122.425653872624)",5802024,1
117,4243,0711C053,0000 1250 ELLIS               ST0005,"(37.7835963351412, -122.42679775829)",0711C053,1
118,4263,3545070,0048 0046 RAMONA              AV0000,"(37.7672101770903, -122.425499517867)",3545070,1
119,4283,3785173,0000 0168 BLUXOME             ST0000,"(37.774839394458, -122.399817161304)",3785173,1
120,4359,3785148,0000 0168 BLUXOME             ST0000,"(37.774839394458, -122.399817161304)",3785148,1
121,4368,0710C066,0000 0001 WESTERN SHORE         0006,"(37.7842359166421, -122.428680459592)",0710C066,1
122,4461,3645012,3544 3542 24TH                ST0000,"(37.7522676806963, -122.422370468709)",3645012,1
123,4503,0710C095,0000 0055 WESTERN SHORE         0006,"(37.7842359166421, -122.428680459592)",0710C095,1
124,4565,0779016,0000 0906 STEINER             ST0000,"(37.777893329887, -122.432989691708)",0779016,1
125,4574,0711C058,0000 1250 ELLIS               ST0010,"(37.7835963351412, -122.42679775829)",0711C058,1
126,4579,0783024,0000 0550 FULTON              ST0000,"(37.7789533839007, -122.425077337164)",0783024,2
127,4595,0710C109,0000 0085 WESTERN SHORE         0002,"(37.7842359166421, -122.428680459592)",0710C109,1
128,4620,3610034,0512 0510 CAPP                ST0000,"(37.7584254282485, -122.418172757682)",3610034,1
129,4694,3522058,1693 1689 FOLSOM              ST0000,"(37.7698272746564, -122.415223062222)",3522058,1
130,4708,0710C063,0000 0001 WESTERN SHORE         0003,"(37.7842359166421, -122.428680459592)",0710C063,1
131,4716,1127043,1241 1239 SCOTT               ST0000,"(37.781406359798, -122.437662754938)",1127043,1
132,4721,0028006E,2624 2622 LEAVENWORTH         ST0000,"(37.805398068202, -122.418341713966)",0028006E,1
133,4777,0711C048,0000 1220 ELLIS               ST0012,"(37.7835963351412, -122.42679775829)",0711C048,1
134,4820,0710C026,0000 1435 LAGUNA                0002,"(37.7842359166421, -122.428680459592)",0710C026,1
135,4971,1205012,1328 1324 FELL                ST0000,"(37.774062914799, -122.439824502247)",1205012,1
136,5007,3545017,0292 0290 GUERRERO            ST0000,"(37.7665906858199, -122.424593583468)",3545017,1
137,5088,4079018,0727 0725 YORK                ST0000,"(37.7594719591033, -122.408741311798)",4079018,1
138,5137,7115044,0000 0027 RANDOLPH            ST0000,"(37.7140839518071, -122.463134999256)",7115044,1
139,5158,2648017,4222 4220 18TH                ST0000,"(37.7609884367242, -122.43653797714)",2648017,1
140,5194,3785160,0000 0168 BLUXOME             ST0000,"(37.774839394458, -122.399817161304)",3785160,1
141,5253,3785170,0000 0168 BLUXOME             ST0000,"(37.774839394458, -122.399817161304)",3785170,1
142,5312,1586020F,4250 4248 BALBOA              ST0000,"(37.7755304108047, -122.504614034071)",1586020F,1
143,5316,6741004,0000 0071 SURREY              ST0000,"(37.7356421681239, -122.43388145889)",6741004,1
144,5318,0710C076,0000 0025 WESTERN SHORE         0004,"(37.7842359166421, -122.428680459592)",0710C076,1
145,5354,0710C025,0000 1435 LAGUNA                0001,"(37.7842359166421, -122.428680459592)",0710C025,1
146,5355,0148011,0000 0886 BROADWAY              0000,"(37.7974678128364, -122.411717762581)",0148011,2
147,5386,1250033,1737 1733 WALLER              ST0000,"(37.7680899140707, -122.45223240891)",1250033,1
148,5428,1203018,5100 5060 DIVISADERO          ST0000,"(37.7742970939799, -122.437315880315)",1203018,1
149,5438,6522023A,3126 3124 25TH                ST0000,"(37.7511432474228, -122.412422724138)",6522023A,1
150,5460,0711C044,0000 1220 ELLIS               ST0008,"(37.7835963351412, -122.42679775829)",0711C044,1
151,5471,0941031,2827 2825 GREENWICH           ST0000,"(37.7973974880315, -122.446243114242)",0941031,1
152,5472,0507020,0000 3232 BUCHANAN            ST0000,"(37.799943382161, -122.4323894446)",0507020,1
153,5511,5610A017,0000 0097 COLERIDGE           ST0000,"(37.7440845540263, -122.419223803286)",5610A017,1
154,5534,3785157,0000 0168 BLUXOME             ST0000,"(37.774839394458, -122.399817161304)",3785157,1
155,5623,1271034,0043 0041 CARL                ST0000,"(37.7656734661308, -122.448695637227)",1271034,1
156,5670,0711C050,0000 1250 ELLIS               ST0002,"(37.7835963351412, -122.42679775829)",0711C050,1
157,5680,6519043,3169 3165 24TH                ST0000,"(37.7521908679481, -122.415549691542)",6519043,2
158,5700,3605008,0850 0848 CHURCH              ST0000,"(37.7571425956496, -122.428284375227)",3605008,1
159,5782,0848021,0334 0332 STEINER             ST0000,"(37.7724185118272, -122.431835705394)",0848021,1
160,5787,4094027,0000 0954 RHODE ISLAND        ST0000,"(37.7577109865353, -122.402205166833)",4094027,1
161,5814,4720012,0000 1340 HUDSON              AV0000,"(37.7363186214517, -122.382857734931)",4720012,2
