,Unnamed: 0,Block and Lot Number,Property Location,Location,blklot,BuildingFire
320,12392,4158051,0000 1081 KANSAS              ST0000,"(37.7560000246274, -122.402387917197)",4158051,1
321,12415,0711C057,0000 1250 ELLIS               ST0009,"(37.7835963351412, -122.42679775829)",0711C057,1
322,12417,5642006,0098 0092 GODEUS              ST0000,"(37.7423800465328, -122.420822578584)",5642006,1
323,12505,3576049,0028 0026 LEXINGTON           ST0000,"(37.7622290225614, -122.42107009212)",3576049,1
324,12522,0711C047,0000 1220 ELLIS               ST0011,"(37.7835963351412, -122.42679775829)",0711C047,1
325,12527,1223012,0000 1548 PAGE                ST0000,"(37.7711768887004, -122.446918672031)",1223012,3
326,12616,0099023,0021 0017 MARION              PL0000,"(37.8000549426868, -122.415413344348)",0099023,1
327,12625,1523024,3040 3038 ANZA                ST0000,"(37.7785684684557, -122.481036104817)",1523024,1
328,12631,4267031,0000 2817 24TH                ST0000,"(37.7526321355134, -122.40858662927)",4267031,1
329,12692,0151005,1739 1737 JONES               ST0000,"(37.7973856383198, -122.415549473233)",0151005,1
330,12793,0710C022,0000 1555 GEARY                 0004,"(37.7842359166421, -122.428680459592)",0710C022,1
331,12864,0711C022,0000 0065 CLEARY              CT0010,"(37.7835963351412, -122.42679775829)",0711C022,1
332,12879,0711C019,0000 0065 CLEARY              CT0007,"(37.7835963351412, -122.42679775829)",0711C019,1
333,12900,6529015A,0457 0455 BARTLETT            ST0000,"(37.7497167583719, -122.419008853615)",6529015A,1
334,12912,4270020,2883 2881 HARRISON            ST0000,"(37.7514627383809, -122.41147085308)",4270020,1
335,12955,3785140,0000 0168 BLUXOME             ST0000,"(37.774839394458, -122.399817161304)",3785140,1
336,13017,1152025,0850 0848 BAKER               ST0000,"(37.7790117792541, -122.441659326659)",1152025,1
337,13076,0710C052,0000 0035 LOTTIE BEN            0004,"(37.7842359166421, -122.428680459592)",0710C052,1
338,13128,1252029,0000 7780 COLE                ST0000,"(37.7672018961611, -122.449901649912)",1252029,1
339,13150,0821016,0774 0772 FELL                ST0000,"(37.7752447700351, -122.430595614124)",0821016,1
340,13160,0710C111,0000 0085 WESTERN SHORE         0004,"(37.7842359166421, -122.428680459592)",0710C111,1
341,13239,3785158,0000 0168 BLUXOME             ST0000,"(37.774839394458, -122.399817161304)",3785158,1
342,13240,3785162,0000 0168 BLUXOME             ST0000,"(37.774839394458, -122.399817161304)",3785162,1
343,13318,7108031B,0099 0097 FARALLONES          ST0000,"(37.7138885107587, -122.455915929996)",7108031B,1
344,13343,3785153,0000 0168 BLUXOME             ST0000,"(37.774839394458, -122.399817161304)",3785153,1
345,13346,6522011,0000 2850 HARRISON            ST0000,"(37.7518063872287, -122.412158865781)",6522011,1
346,13438,0710C010,0000 0020 BERTIE MINOR          0004,"(37.7842359166421, -122.428680459592)",0710C010,1
347,13540,5812013,0000 0756 ELLSWORTH           ST0000,"(37.733867936231, -122.415204291815)",5812013,1
348,13547,0710C080,0000 0035 WESTERN SHORE         0002,"(37.7842359166421, -122.428680459592)",0710C080,1
349,13580,0711C001,0000 0045 CLEARY              CT0001,"(37.7835963351412, -122.42679775829)",0711C001,1
350,13778,3613034,0000 2957 21ST                ST0000,"(37.7571320678195, -122.413653679996)",3613034,1
351,13789,5816012,0000 0705 BANKS               ST0000,"(37.7345079747893, -122.412899032477)",5816012,1
352,13834,4073007,0754 0750 RHODE ISLAND        ST0000,"(37.7602310815894, -122.402447533755)",4073007,1
353,14018,1801021,4138 4136 JUDAH               ST0000,"(37.7605708765928, -122.50665950457)",1801021,1
354,14036,1204006,0000 0533 DIVISADERO          ST0000,"(37.774484619965, -122.438026494666)",1204006,1
355,14110,3785144,0000 0168 BLUXOME             ST0000,"(37.774839394458, -122.399817161304)",3785144,1
356,14187,0856015,0150 0148 LAGUNA              ST0000,"(37.7724039963848, -122.425170524148)",0856015,1
357,14194,0710C098,0000 0065 WESTERN SHORE         0003,"(37.7842359166421, -122.428680459592)",0710C098,1
358,14221,3730086,0027 0023 RAUSCH              ST0000,"(37.7769046482293, -122.409863979613)",3730086,1
359,14259,3585082,3825 3823 18TH                ST0000,"(37.7610092978885, -122.428947498601)",3585082,1
360,14288,3654007,3916 3914 24TH                ST0000,"(37.7517769020745, -122.430128215021)",3654007,1
361,14315,0103031,0136 0134 JASPER              PL0000,"(37.8010515285082, -122.40833121215)",0103031,1
362,14319,6309D028,0207 0205 PEABODY             ST0000,"(37.7093681319089, -122.407661536228)",6309D028,1
363,14344,0460A007,0000 1624 BAY                 ST0000,"(37.8033150235643, -122.433894790913)",0460A007,1
364,14368,1599040,0000 4441 BALBOA              ST0000,"(37.7751148432896, -122.50650390241)",1599040,1
365,14413,0710C058,0000 0045 LOTTIE BEN            0004,"(37.7842359166421, -122.428680459592)",0710C058,1
366,14436,0710C001,0000 0010 BERTIE MINOR          0001,"(37.7842359166421, -122.428680459592)",0710C001,1
367,14473,0710C036,0000 1445 LAGUNA                0006,"(37.7842359166421, -122.428680459592)",0710C036,1
368,14531,0675023,1979 1977 BUSH                ST0000,"(37.7872830369304, -122.429658418935)",0675023,1
369,14551,0710C015,0000 1545 GEARY                 0003,"(37.7842359166421, -122.428680459592)",0710C015,1
370,14571,4710047,0006 0002 DUKES               CT0000,"(37.7370231812833, -122.386356793879)",4710047,1
371,14573,1362049,0000 4055 CALIFORNIA          ST0000,"(37.7852237542567, -122.460829117641)",1362049,1
372,14590,0711C034,0000 0085 CLEARY              CT0010,"(37.7835963351412, -122.42679775829)",0711C034,1
373,14643,0710C074,0000 0025 WESTERN SHORE         0002,"(37.7842359166421, -122.428680459592)",0710C074,1
374,14699,0710C093,0000 0055 WESTERN SHORE         0004,"(37.7842359166421, -122.428680459592)",0710C093,1
375,14751,0530025,1859 1857 FILBERT             ST0000,"(37.7984608513224, -122.429966025262)",0530025,1
376,14752,0521017A,0000 2820 GOUGH               ST0000,"(37.7994476680892, -122.427220985472)",0521017A,1
377,14759,3596024,0275 0273 SAN CARLOS          ST0000,"(37.7590912553503, -122.419689326742)",3596024,1
378,14792,0710C014,0000 1545 GEARY                 0002,"(37.7842359166421, -122.428680459592)",0710C014,1
379,14840,0710C077,0000 0025 WESTERN SHORE         0005,"(37.7842359166421, -122.428680459592)",0710C077,1
380,14842,6571016,3358 3354 CESAR CHAVEZ        ST0000,"(37.748440331151, -122.417218171147)",6571016,1
381,14845,0710C106,0000 0075 WESTERN SHORE         0005,"(37.7842359166421, -122.428680459592)",0710C106,1
382,14880,3785138,0000 0168 BLUXOME             ST0000,"(37.774839394458, -122.399817161304)",3785138,1
383,14888,0711C016,0000 0065 CLEARY              CT0004,"(37.7835963351412, -122.42679775829)",0711C016,1
